size type  blanks  precomp  comp_time  postcomp
6 1 23 38.8425738811 2.86205005646 15.1306118965
6 2 23 38.5019509792 2.81433391571 14.8275229931
6 2 23 39.2101080418 2.89942002296 13.7622158527
6 2 23 39.1365828514 3.69532203674 14.9209771156
6 3 23 39.4779219627 2.84740710258 14.7545559406
6 3 23 39.6756379604 2.86220407486 14.6288750172
6 3 23 39.5291640759 2.83855009079 14.0307571888
6 4 23 38.6395831108 3.4970369339 12.2853469849
6 4 23 38.4194869995 2.87750196457 12.8435778618
6 4 23 39.1658890247 2.80621910095 12.1085059643
6 5 23 39.4670109749 3.19112086296 12.8972768784
6 5 23 38.7280580997 2.79059100151 13.0966870785
6 5 23 39.5027649403 2.77050614357 12.1173460484
6 6 23 38.445800066 2.86616683006 14.6085600853
6 6 23 38.3277721405 2.77641105652 14.6045808792
6 6 23 39.6185150146 2.79299616814 13.8230760098
6 1 24 39.9747290611 2.76365613937 13.9943971634
6 1 24 38.5881650448 2.82429409027 14.9115710258
6 1 24 39.1564240456 2.85971403122 14.2156848907
6 2 24 40.2074770927 2.78796100616 13.7560331821
6 2 24 39.6809151173 3.4025080204 15.1636400223
6 2 24 39.4945130348 2.83292508125 14.7495770454
6 3 24 38.3822290897 2.89322590828 14.0021798611
6 3 24 40.1687259674 2.82905101776 13.8068299294
6 3 24 39.069111824 2.84044003487 14.7888839245
6 4 24 39.5783798695 2.84885191917 14.7294170856
6 4 24 39.6580820084 2.86811494827 14.1382238865
6 4 24 39.3423509598 3.35103321075 14.082668066
6 5 24 39.0810449123 2.80176401138 12.995429039
6 5 24 38.3872001171 2.80607485771 14.3357551098
6 5 24 40.1220760345 2.79211401939 14.0302810669
6 6 24 38.5650281906 2.80692720413 14.7584860325
6 6 24 39.1729171276 2.90089488029 14.8286819458
6 6 24 39.4031391144 2.83454990387 13.8467400074
6 1 25 38.5685460567 3.68588685989 13.9687981606
6 1 25 39.6595029831 2.91575884819 14.610722065
6 1 25 39.6965560913 2.77176094055 13.9670200348
6 2 25 40.0292310715 2.83984303474 13.8752119541
6 2 25 38.1641490459 2.79097390175 14.6633870602
6 2 25 38.9284648895 3.26406908035 15.0418608189
