size  blanks  time  guess  backtrack
4  15  0.075954914093  5  0
4  15  0.0693180561066  4  0
4  15  0.056263923645  5  0
4  15  0.0738408565521  7  1
4  15  0.067892074585  4  0
4  15  0.0685930252075  7  1
4  15  0.0569980144501  5  0
4  15  0.0705189704895  7  1
4  15  0.0378770828247  4  0
4  15  0.05770611763  5  0
4  15  0.0511960983276  5  0
4  15  0.0475790500641  4  0
4  15  0.0642249584198  6  1
4  16  0.0722320079803  7  1
4  16  0.0807709693909  7  1
4  16  0.0731658935547  7  1
4  16  0.0724158287048  7  1
4  16  0.0708830356598  7  1
4  16  0.0741381645203  7  1
4  16  0.0828540325165  7  1
4  16  0.0704340934753  7  1
4  16  0.0723230838776  7  1
4  16  0.0701761245728  7  1
4  16  0.0820648670197  7  1
4  16  0.0725300312042  7  1
4  16  0.0670049190521  7  1
4  16  0.0678949356079  7  1
4  16  0.0708160400391  7  1
4  16  0.0784690380096  7  1
4  16  0.074000120163  7  1
4  16  0.0669240951538  7  1
4  16  0.0663840770721  7  1
4  16  0.0707309246063  7  1
4  16  0.06787109375  7  1
4  16  0.0726890563965  7  1
4  16  0.0747978687286  7  1
4  16  0.0663561820984  7  1
4  16  0.0698170661926  7  1
4  16  0.0672011375427  7  1
4  16  0.0758371353149  7  1
4  16  0.071918964386  7  1
4  16  0.0678730010986  7  1
4  16  0.0702991485596  7  1
4  2  0.0066511631012  0  0
4  2  0.00521087646484  0  0
4  2  0.00592494010925  0  0
4  2  0.00614786148071  0  0
4  2  0.00596189498901  0  0
4  2  0.00555109977722  0  0
4  2  0.0059380531311  0  0
4  2  0.00484299659729  0  0
4  2  0.00576496124268  0  0
4  2  0.00585913658142  0  0
4  2  0.006676197052  0  0
4  2  0.00505495071411  0  0
4  2  0.00508403778076  0  0
4  2  0.00513505935669  0  0
4  2  0.00503206253052  0  0
4  2  0.00487589836121  0  0
4  2  0.00581216812134  0  0
4  2  0.00515413284302  0  0
4  2  0.0103921890259  0  0
4  2  0.00570893287659  0  0
4  2  0.00654911994934  0  0
4  2  0.00670790672302  0  0
4  2  0.00641989707947  0  0
4  2  0.00581312179565  0  0
4  2  0.00634407997131  0  0
4  2  0.00626993179321  0  0
4  2  0.00686502456665  0  0
4  2  0.00613212585449  0  0
4  2  0.00700616836548  0  0
4  2  0.00599813461304  0  0
